name,image,description,launched,website,offline,presented,breakout,feature,video,first_active,last_active,slack_channel,github
Tracking Gentle Density in Toronto,Screenshot 2024-09-14 at 4.15.03 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/rHSR6B7PlMiBsrszWGyo3Q/8p9qq09ipkygqaSYPeEgiiZiLLg9biCSo575pqhY_MnK7-AUW9X8HBQp8X6mmenQgAV96vlzkJ4i-AWqZl3QkwdkT-SUghVNycN9mqBJC7Jy2Omc1JoDv03ixR9sNlpFahjVyWFC2kTsOaDuHIGCZJHa3fzXLwpW-6lqY9psSuY1UZpuaroj2rsbsG5S-7O4/u-60Kj5KsaOxaVwcT8dDIQWkJK7nIfQxQ-2aHNmIM78),Visualizing 10 years (2012 to 2022) of Secondary Suite and Laneway / Garden Suite building permits in Toronto,TRUE,https://schoolofcities.github.io/gentle-density/toronto-building-permits,,TRUE,,,https://www.youtube.com/watch?v=1_kSEhsn1ik,,,,
Parking Tickets Toronto,Screenshot 2024-09-14 at 4.14.01 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/1V1MYbCttGH-bUsxRmGzmg/RRRbIbFJn3VH1jdtfII3tKltYIryRRMXulh7s0fTf1YBvnD7VG9cEaeaLgLmHyMYDN4cwgP7rV8kgbxAHYK_VCSkePnNWx9w7VRdZZrn51X5ay3FTz3e-Wq8oaokUALzAQhxZtGUn-KKyShY59OV5GPN5J5lxRTyKP_ENj9Fr7k03Wsm9WEBGv_XkOuAzjF2/K4LBToITNk8pe-6WpS4J1NI34ydrJB4mJmpY9UzYxYk),,TRUE,https://schoolofcities.github.io/parking-tickets-toronto/,,TRUE,,,https://www.youtube.com/watch?v=1_kSEhsn1ik,,,,
Place and Politics in Toronto,Screenshot 2024-09-14 at 4.14.35 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/wocIZD5I9-fy1-QGESe3kQ/JkUse_PnDrfWk_JXcTn69cap8DY1tVgSQgbUA-5bHSQwaXbH9pAXhSi3d_dUanAHWcwu1Hjunylbt_MCOL6imQ1vcBVjRDEQfY--6iAe2zjfEwTtn9cJmpdjHtI9FlBYejyb3w0IlwM8uois7gbWgFnD_QuBpYlnXaiefStzCYD1LhZ3YUh2TQUMB-FWCo19/wxu395mNOpmF9AJIlfYkO7pcCNFCOU59gukmLdTJD0w),Mapping the 2022 Toronto Election,TRUE,https://schoolofcities.github.io/place-and-politics-toronto/,,TRUE,,,https://www.youtube.com/watch?v=1_kSEhsn1ik,,,,
TaxGPT,Screenshot 2024-09-14 at 4.13.32 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/IbuV8b40TJbc4onkAbGzvw/A8LoETc3BH3MW_rTIaJzd7j1rdwR1V_XpqcQIRLYV5R05htxyewxe29YPqEQt9i8E3EUGAZHZMCixfLwvJrGAulr6KQdoMJwlmjCcgjEk7g_-Av7095t29L12VSWulVG6wnmvSZ4q5N6JC9DMQN6WpKqZjp2MiEaBWAfsAxSnbOyRRg0cT-xiweWe8Qx8WCt/ZM8myNWhPtr2JO7I07zhNU_Bz4qWKbTTgiNfdUFmJLo),"TaxGPT generates answers based on publicly information from the Canada Revenue Agency website. It uses the ChatGPT’s AI model to return information about Canada’s tax system, and is intended for a beginner audience. The intent is to provide a friendly and approachable way to start learning about taxes, not to solve for complex scenarios.",TRUE,https://taxgpt.ca/,,TRUE,,,https://www.youtube.com/watch?v=Q1tGuJGwvWE,,,,
tobus.ca,Screenshot 2024-09-14 at 4.11.16 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/8agk-ujf0-35xuAhdCZPRA/7-aSb88jdGy74e9VlT3XVIgh8YDFvyKGybU1nqblf2Lb3LBCFMSWIY9jZx-rSitpyfH_U-H_k8Hh-8E-gXiT6TkpA4I6O5DUmRvGqbxPHu6lnGaE951opBiRnU59wcl7BbrqNuNUYchiahlrcR8Ql7MP59_uLqKxCro8tX__GAWb4orTeWJ9OWErZVKlAQkW/pYfycXa4__mbc1-mN-9HPb7jfuXdyXUe8H36YWJSrEs),"A extremely fast and simple website, parsing TTC's ETA data.",TRUE,https://tobus.ca/,,TRUE,,,https://www.youtube.com/watch?v=jJYQLKUF7Qo,,,,https://github.com/thomassth/ttc-bus-eta
Torontoverse,Screenshot 2024-09-14 at 4.16.45 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/uxQYxgjIH6uEgZmLjGvB0Q/7lLE83CAZhNSngfqA3mDXk-TfgLtZmih5vn-3_Rloz0ZsYwRHCG1l2Lp3d83nSPaTPJNUNyE_KpoX78kmcXiiXhyQPJS3C3SikRHQkhZGKBtXFYJQdl2ZFji3a-hlBcVyqErA3ZPEB6pKVZGmOL65eDt0Z5cGKmgnpic7lURkUfynD16yNV8ZtIZ9Vm5tDRk/LhJdxanzXn54niisIX9HXNrSMhxvCXV1e2KE_6YA7oM),"We’re a new kind of news publisher using innovative, cutting-edge technology to tell honest, local stories. We’re using data, code, and even a little AI to do something completely fresh.",TRUE,"https://torontoverse.com
",,TRUE,,,https://www.youtube.com/watch?v=6UuhjZoW9mo,,,,
TorontoBot,Screenshot 2024-09-14 at 4.13.06 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/kf2MZDSbc5eGodD5oqmRsA/XCUSZ8FdRKqLF2M6R7NSM9kZKlQpx5CFA1lSARc7sTHmtWkaRJYu8Wc-7ED9YHE5TNzrdd9EybbcPBdPafEQooF9omAJDmfK6zv5457PDuUQK231wji0CjxkRwgTdhzqs-GwUsvhaPak0_F0MUh7PIXH1c23FCjwssXv7efLXOAh0x1lNFzffzxWkVlAHv4X/vPJo_Ss81dsm9A4X7gR_P7CFIx1_A7fxX_BylmurqZI),TorontoBot is a tool for querying Toronto Open Data. It answers questions either on the command line or as a Discord bot.,TRUE,https://torontoverse.com/articles/a6_rscnPTmG_8auFQPvg7w/meet-torontobot-torontoverses-ai-powered-municipal,,TRUE,,,https://www.youtube.com/watch?v=2gMf13erp0Y,,,,https://github.com/geomodulus/torontobot
Know Your Vote T.O.,Screenshot 2024-09-14 at 4.15.49 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/Ijz79yfOjfiDmfGCheutqg/aLcnMpQ3iWI8WZOU7Bqk6LmW4AgfeplXhsPxFliqODe5oB1gg6vg6rfIwFdvbRUotOCI0Dg_WC_PBn-OxUCPQBSDA81RH-KpmWVnaRYU7b17OaTOTz73nt3-PzwI4bApm2eoHxxcj6b6JZr0u3FCtIpObFEZaCtHpxL8hoNjZ4UAVSfrWflskmmmMxJnhR9T/WoWiWx2Z7mAFFJGc1A9OXzdqNt3m3MNN1qvELGY80w0),Know Your Vote T.O. is a municipal election candidate civic learning website developed by the Toronto Public Library. ,TRUE,https://www.knowyourvote.to/,,TRUE,,,https://www.youtube.com/watch?v=_rVXTQRlfDM,,,,
Open Water Data,Screenshot 2024-09-14 at 4.11.56 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/-FL6iwin7L5B4k36d0TzIQ/WjI2r-P6dOovU4nS-8PtSYICqL7LzA79ZwZlchr0roafN1hqx-pL8HBjrNRwjALtd_rTVu-U7-tA8OGPd_rqLNxrBTXmI6SSq19LwTkKnkSTIo1BSNcWlSLYyIhDAvf1jrw-MRutAeGUyST74L_gTrRoZDxZv-_brcK5Z2q9AzZ2uYUT4bX8zEUXZKlNn91D/sbKZQwrvYwEAItKZoCW9V3cDVcAJjUBfijAUtcE3CU4),"For open water swimmers, paddleboarders, surfers and other beach-goers to check beach conditions. ",TRUE,https://www.openwaterdata.com/,,TRUE,,,https://www.youtube.com/watch?v=uYWlvsyQTnE,,,,
Toronto Tree Inequities,,"An analysis of the relationship between Toronto neighbourhoods' street tree density, income, and visible minority population, utilizing spatial autoregression methods.",,,,TRUE,,,https://www.youtube.com/watch?v=5uoTKp7M3r8,,,,https://github.com/EthanSansom/torontotreeinequities
