name,image,description,launched,website,offline,presented,breakout,feature,video,first_active,last_active,slack_channel,github
Free the Electorate,,Make elections results more accessible outside of media cycles.,,,,,TRUE,,,2016-01-01,2016-01-01,#freetheelectorate,https://github.com/CivicTechTO/freetheelectorate
Planning Applications,,,,,,,TRUE,,,2015-01-01,2016-01-01,#planningapplications,
Plain Language Project,,,,,,,TRUE,,,2015-01-01,2016-01-01,#proj-plainlanguage,
#refugeeswelcome,,,,,,,TRUE,,,2015-01-01,2016-01-01,#refugeeswelcome,
Section 37 funding,,,,,,,TRUE,,,2016-01-01,2016-01-01,#s_37,
Toronto City Hall app,Screenshot 2024-09-14 at 3.53.38 PM.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/Efob9PbEpMXNHAfHq_ZmAg/4OUoWVRvWCsiNq_OuubhyGjWU_0vy7yYhxpmytaPL32gIkFYGbMMnPF2l8xA7yAsJYMWSzt7asOdpDLYtIBVHbVJVDON9bdAVsBl65g9zHxao55V3Jf6mBjBhfQWd4a7V1TAzuDK1UgPSMLZ2510tXC0A9ovqnVmEChu7IqkofjgWMkAtBlz_leYQBkRnDRQ/qHLIMvB1rx7kfdPK9PHXT9DQpnaCG4es-Vl5X7Vv64I),,,,,,TRUE,,,2015-01-01,2015-01-01,,https://github.com/CivicTechTO/tocityhall-app
Orders in Council,,,,,,,TRUE,,,2015-01-01,2015-01-01,,
Transit Clock,,,,,,,TRUE,,,2015-01-01,2015-01-01,,
Citizen Dashboard,,"Figuring out how to make city council's activity accessible! Currently looking to get city council minutes into Open Data, maybe make a Citizen Dashboard out of it",,,,TRUE,TRUE,TRUE,https://www.youtube.com/watch?v=pTo2BwPNPJA,2024-02-20,2024-10-31,#proj-citizen-dashboard,https://github.com/IlyaKreynin/citizen-dashboard
Civic Tech Toolkit,,,,,,,TRUE,,,2024-01-01,2024-10-30,#civic-tech-toolkit,
Pol.is Toronto,,,,,,,TRUE,TRUE,,2024-04-24,2024-10-30,#polis,
Police tech audit,,,,,,,TRUE,TRUE,,2024-07-02,2024-10-30,#proj-tpsb-tech-audit,
Bikespace,bikespace.png (https://v5.airtableusercontent.com/v3/u/34/34/1730325600000/R8PA0nXCWtrx26ZhhCtjhg/DW2KX5qrDfm_AMeIv4nCMnQK3Lier4rvX6vsagBA7t-ePiC9IsWIFxYySLBhUrYIg7vbynwYdc_8R2D98agBPiMg8dwnx5iY8sOE_O_vc08WQ4PUnwfC6nXzPosYlgKzqAizCSQKPeXm86rPF5UG4CoLUsOHwkMuHVJDZseSFWQ/ROS1hXCom9rdwWNrDZRyQ5yO6rZFRIPSh7JkH6AXUwo),a tool that enables cyclists to identify places where there is not enough bicycle parking,TRUE,https://bikespace.ca/,,TRUE,TRUE,TRUE,https://www.youtube.com/watch?v=p5ZJiEsvT7c,2017-06-27,2024-10-30,#proj-bikeparking,
